Date,Furnace,SP_Power,Avg_Load,Ore_qty,Flux_qty,Reductant_qty,Additive_qty,Cr%,Cr recovery,Cr_recovery_pct,Total_Charge,Ore_fraction,Flux_fraction,Reductant_fraction,Additive_fraction,Reductant_Ore_ratio,Flux_Ore_ratio,Additive_Total_ratio,Flux_Reductant_ratio,Power_per_Charge,Power_per_Ore,Load_Power_ratio,Power_per_Load,Energy_Intensity,Ore_Cost,Flux_Cost,Reductant_Cost,Additive_Cost,Total_Material_Cost,Power_Cost,Est_Metal_kg,Material_Cost_per_ton,Power_Cost_per_ton,Total_Cost_per_ton,Cost_per_Cr_recovery,Material_Cost_Fraction,Reductant_Cost_Fraction,Power_Load_interaction,Ore_Reductant_interaction,Flux_Ore_interaction,Power_Ore_interaction,Cr_deviation,Cr_deviation_abs,Cr_normalized,Cr_in_spec,Power_Efficiency_Score,Recovery_Efficiency_Score,Cost_Efficiency_Score,Overall_Efficiency_Score,Reductant_Ore_OK,Flux_Ore_OK,Power_OK,Recovery_OK,All_Constraints_OK,Fur_Fur_1,Fur_Fur_2,Fur_Fur_3,Fur_Fur_4,Fur_Fur_5,Furnace_Num,Date_parsed,Day_of_Week,Day_of_Month,Month,Week_of_Year
01-08-2025 00:00,Fur_1,3622,7.25,110.131,16.611,24.684,12.2,58.54,93.11%,93.11,163.626,0.6730654052534438,0.10151809614608925,0.15085622089398995,0.07456027770647695,0.22413307584482958,0.150829465356444,0.07456027770647695,0.6729460106568623,22.13584638138193,32.8881056842478,2.0016565433462175,499.5861379881189,160.48488626501901,495.5895,46.510799999999996,444.312,42.699999999999996,1029.1123,170686.75,57.269099999999995,17969.765545468676,2980433.602064639,3004903.3676101076,31929.692568378574,0.00599311144710712,0.4317429691589538,26259.5,2718.4736040000003,1829.386041,398894.482,0.5399999999999991,0.5399999999999991,0.5693333333333332,0,0.29666666666666663,1.0,0.9685692397082448,0.7827138479416489,1,1,1,1,1,True,False,False,False,False,1.0,2025-08-01,4,1,8,31
01-08-2025 00:00,Fur_2,3550,10.02,172.738,27.896,39.115,11.1,58.15,85.30%,85.3,250.84900000000002,0.6886134686604292,0.11120634325829483,0.15593046015730577,0.044249727923970195,0.22644119865668702,0.1614931273866021,0.044249727923970195,0.7131790690737807,14.151940011720198,20.551355112648316,2.822535211267606,354.2913818072474,141.80243891743638,777.321,78.1088,704.07,38.85,1598.3498,231211.5,87.79715,18205.030573315875,2633473.8656095327,2658178.8961828486,30801.609457506936,0.00686547326658685,0.440498068695601,35571.0,6756.6468700000005,4818.699248,613219.9,0.14999999999999858,0.14999999999999858,0.5433333333333332,1,0.41666666666666663,0.04285714285714245,1.0,0.3464285714285712,1,1,1,1,1,False,True,False,False,False,2.0,2025-08-01,4,1,8,31
01-08-2025 00:00,Fur_3,3624,10.08,167.42,26.366,36.63,10.1,56.8,85.65%,85.65,240.516,0.6960867468276538,0.10962264464734155,0.15229756024547225,0.04199304827953234,0.21879106308212246,0.15748417060396508,0.04199304827953234,0.7197925001421649,15.067604650002496,21.646159230401633,2.781456953642384,359.5237738567685,151.88145487202513,753.39,73.8248,659.34,35.35,1521.9047999999998,237444.48,84.1806,18079.04434038246,2820655.5904804673,2845234.6348208496,32835.945006587994,0.006368698263873973,0.43323340592657317,36529.92,6132.5946,4414.19572,606730.08,-1.2000000000000028,1.2000000000000028,0.45333333333333314,0,0.29333333333333333,0.09285714285714367,0.9968073777381218,0.3337900469761962,1,1,1,1,1,False,False,True,False,False,3.0,2025-08-01,4,1,8,31
01-08-2025 00:00,Fur_4,3618,7.3,120.001,19.156,26.674,14.6,58.34,87.55%,87.55,180.431,0.665079725767745,0.10616800882331749,0.1478349064185201,0.08091735899041738,0.2222814791353282,0.1596320017363855,0.08091735899041738,0.7181524811369693,20.051986632008912,30.14974850084792,2.017689331122167,495.6163704635109,146.37950241366502,540.0045,53.636799999999994,480.132,51.1,1124.8733,171674.1,63.15085,17812.48075045704,2718476.473396637,2742788.954147094,30974.465885342677,0.006509722126919604,0.42683207077632657,26411.399999999998,3200.906674,2298.739156,434163.618,0.3400000000000034,0.3400000000000034,0.5560000000000003,1,0.30333333333333334,0.3642857142857139,1.0,0.4731428571428569,1,1,1,1,1,False,False,False,True,False,4.0,2025-08-01,4,1,8,31
01-08-2025 00:00,Fur_5,3616,7.38,116.438,18.596,25.907,12.2,58.65,91.54%,91.54,173.141,0.6725039129957665,0.10740379228490075,0.14962949272558204,0.07046280199375075,0.22249609043013371,0.1597073106742875,0.07046280199375075,0.7177982507508298,20.88471245978711,31.055153549054832,2.040929203539823,489.97283333701444,154.12917795322886,523.971,52.068799999999996,466.326,42.699999999999996,1085.0658,173459.52,60.599349999999994,17905.56829404936,2862399.019131393,2886804.5874254424,31195.208422578802,0.006216553753453635,0.4297674850686474,26686.079999999998,3016.559266,2165.281048,421039.808,0.6499999999999986,0.6499999999999986,0.5766666666666665,0,0.30666666666666664,0.9342857142857152,0.9894555434807956,0.7570339658390167,1,1,1,1,1,False,False,False,False,True,5.0,2025-08-01,4,1,8,31
02-08-2025 00:00,Fur_1,3759,5.74,85.804,14.376,18.838,14.7,55.85,90.18%,90.18,133.718,0.6416787567866705,0.10750983412853916,0.140878565338997,0.10993284374579339,0.2195468717128937,0.16754463466103403,0.10993284374579339,0.7631382968925418,28.11139861499574,43.80914591616771,1.527001862197393,654.8779346902552,161.35942805007554,386.118,40.25279999999999,339.084,51.449999999999996,816.9048,140248.29,46.80129999999999,17454.745915177573,2996675.0923585463,3020629.838273724,33128.206166634394,0.005790973465553957,0.4150838628932037,21576.66,1616.3757520000001,1233.518304,322537.23600000003,-2.1499999999999986,2.1499999999999986,0.39000000000000007,0,0.06833333333333336,0.740000000000001,0.9657879421957998,0.5836575884391605,1,1,1,1,1,True,False,False,False,False,1.0,2025-08-02,5,2,8,31
02-08-2025 00:00,Fur_2,3751,8.08,132.024,21.9,29.055,14.8,56.18,84.85%,84.85,197.77900000000002,0.6675329534480404,0.11072965279428046,0.14690639552227483,0.07483099823540416,0.22007362131071911,0.1658789298470056,0.07483099823540416,0.7537428754519746,18.965613133851416,28.411500724023657,2.154092242068782,464.23261581279513,153.24215412151946,594.108,61.31999999999999,522.99,51.800000000000004,1230.2179999999998,197002.52,69.22265,17771.89980447151,2845925.7193996473,2870197.619204119,33432.703776402086,0.006205927499220638,0.42511977551946084,30308.08,3835.95732,2891.3255999999997,495222.024,-1.8200000000000003,1.8200000000000003,0.412,0,0.08166666666666667,0.0,0.9923925609713175,0.22297851219426348,1,1,1,0,0,False,True,False,False,False,2.0,2025-08-02,5,2,8,31
02-08-2025 00:00,Fur_3,3758,8.33,131.402,22.455,28.304,11.3,55.38,87.85%,87.85,193.46099999999998,0.679216999808747,0.11606990556236141,0.14630338931360842,0.058409705315283195,0.21540006837491008,0.1708878086262933,0.058409705315283195,0.7933507351133855,19.425103767684444,28.599260067584513,2.2166045769026077,451.14040202396137,161.81111438481142,591.309,62.87399999999999,509.472,39.550000000000004,1203.205,203476.91,67.71135,17769.62060274976,3005063.552860784,3029333.1734635336,34094.91472665767,0.0058784655265607996,0.4234290914682037,31304.14,3719.2022079999992,2950.6319099999996,493808.71599999996,-2.6199999999999974,2.6199999999999974,0.35866666666666686,0,0.06999999999999995,0.4071428571428563,0.9642487179775271,0.4174211721669336,1,1,1,1,1,False,False,True,False,False,3.0,2025-08-02,5,2,8,31
02-08-2025 00:00,Fur_4,3761,5.95,96.05,16.163,21.22,13.8,57.93,85.79%,85.79,147.233,0.6523673361270911,0.1097783784885182,0.1441252979970523,0.09372898738733844,0.22092659842866633,0.1682769373422495,0.09372898738733844,0.7616870517583859,25.544545040853613,39.156688816692466,1.5820260568997606,632.100734100717,151.990042993079,432.22499999999997,45.2564,381.96,48.300000000000004,907.7413999999999,145456.67500000002,51.531549999999996,17615.25512040682,2822672.2270143246,2846787.4821347315,32800.86971004414,0.006201926822973345,0.420780632017004,22377.95,2038.1809999999998,1552.45615,361244.05,-0.07000000000000028,0.07000000000000028,0.5286666666666666,1,0.06499999999999995,0.11285714285714375,0.996532749662714,0.27523512136111467,1,1,1,1,1,False,False,False,True,False,4.0,2025-08-02,5,2,8,31
02-08-2025 00:00,Fur_5,3762,5.89,87.678,15.258,19.381,10.8,57.08,90.96%,90.96,133.117,0.6586536655723912,0.11462097252792657,0.14559372582014318,0.08113163607953906,0.22104746662734706,0.1740231281048481,0.08113163607953906,0.787265838333118,28.26085323437277,42.90700012651977,1.5656565656565655,638.7095689796997,166.45642555045563,394.551,42.72239999999999,348.858,37.800000000000004,823.9313999999999,144028.16999999998,46.59094999999999,17684.365740556914,3091333.6173656043,3115517.983106161,33879.05592764421,0.0056880873113795225,0.4234066088511738,22158.18,1699.287318,1337.790924,329844.636,-0.9200000000000017,0.9200000000000017,0.47199999999999986,0,0.06333333333333335,0.8514285714285705,0.9490065443330519,0.6345155945808957,1,1,1,1,1,False,False,False,False,True,5.0,2025-08-02,5,2,8,31
