Material_Name,Material_Type,Cost_per_kg,Cr2O3,CaO,MgO,SiO2,Al2O3,Fe,Cr,P,S,FC_%,H2O%,CR/FE
BLENDED MG CHIPS ,Ore,8805,42.73,3.12,10.52,10.09,14.68,14.44,29.58,0.01,0.06,0,4.5,2.048476454
BOULDER CHIPS ,Ore,9086,45.23,3.05,10.48,7.6,14.36,17.64,29.36,0.01,0.06,0,4.5,1.664399093
RD COB BRQT ,Ore,11422,43.8,2.11,10.25,8.01,11.38,14.14,27.84,0.01,0.05,0,1.68,1.968882603
DOLOMITE,Flux,2482,0,32.317,15.457,7.13,1.25,0,0,0.0025,0,0,0,0
Sp Paste,Auxiliary,76173,0,0.07,0,0,0.04,9.7,0,0,0,0,0,0
LAMC - (ULP),Reductant,29582.08,0,0.86,0.19,5.53,3.52,1.18,0,0.01,0.67,85.88,8.62,0
LAMC (HP) - DOM,Reductant,25835.09,0,0.09,0.06,6.14,0.87,0.89,0,0.031,0.62,85.08,13.1,0
LAMC  (LP) ,Reductant,23700,0,0.09,0.06,6.66,0.87,1.17,0,0.004,0.55,85.62,9.4,0
BAL PRESS BRQT  LG,Ore,4385,20.45,2.78,12.01,5.4,17.92,19.83,13.99,0.01,0.03,0,2,0.705496722
RD BRQT - LGTG,Ore,1916,32.51,2.46,10.57,9.04,12.75,15.73,22.24,0.01,0.03,0,0,1.413858868
MAGNESITE,Flux,9521,0,1.25,44.46,3.76,0,0,0,0,0,0,0,0
BLENDED MG BRQT,Ore,9267,33.07,2.84,10.9,10.92,13.58,14.02,22.63,0.01,0.05,0,2,1.614122682
BLENDED MG  DRYER CHIPS,Ore,9620,44.15,2.71,10.33,20.62,13.02,15.77,22.5,0.01,0.05,0,4.5,1.42675967
MG BRQT  ,Ore,8572,42.46,2.37,10.39,8.83,11.95,12.52,29.05,0.01,0.05,0,2,2.32028754
MG BRQT - OWN,Ore,8572,41.61,2.23,10.4,8.37,11.58,13.57,28.47,0.01,0.05,0,4.5,2.098010317
MG CHIPS  ,Ore,9424,47.5,2.98,10.44,8.9,14.08,14.08,31.19,0.01,0.06,0,3.39,2.215198864
MG CHIPS -OWN,Ore,8805,44.74,1.8,10.25,9.02,10.88,15.24,30.61,0.01,0.05,0,4.5,2.008530184
MG / HG COKE MIX BRQT,Ore,12588,32.53,2.32,10.45,8.13,11.72,14.62,22.26,0.01,0.05,0,2,1.522571819
MG DRYER CHIPS - OWN,Ore,9424,29.57,2.9,10.39,22.96,13.67,15.12,20.23,0.01,0.06,0,4.5,1.337962963
MG RD BRQT - BAL ,Ore,24734,42.09,2.39,10.58,9.73,12,14.55,25.19,0.01,0.04,0,1.29,1.731271478
QUARTZ,Flux,2591,0,0,0,98.67,1,0,0,0.003,0,0,0,0
PRESS BRQT - RD,Ore,24734,40.94,2.14,10.4,8.03,11.58,13.74,28.01,0.01,0.05,0,2,2.038573508
SEMI COKE,Reductant,25621,0,0.09,0.06,2.92,0.87,0.55,0,0.01,0.36,85.54,16.87,0
SEMICOKE - MONTEX,Reductant,22800,0,0.29,0.19,8.15,2.85,0.71,0,0.0039,0.64,85.19,16.36,0
SHG BRQT - BAL,Ore,18921,47.81,1.97,10.16,6.64,10.86,11.78,32.71,0.01,0.05,0,1.89,2.776740238
SHG CHIPS ,Ore,11359,52,2.8,10.5,6.1,14.03,12.11,35.58,0.01,0.06,0,4.5,2.938067713
SHG CHIPS - OWN,Ore,24734,51.7,1.8,10.25,6.21,10.88,12.61,35.37,0.01,0.06,0,4.5,2.804916733
SHG DRYER CHIPS - OWN,Ore,9422,37.01,2.68,10.45,16.07,13.51,14.46,25.32,0.01,0.05,0,4.5,1.751037344
SOAP STONE,Flux,8503,0,1.53,40.8,3.63,2.45,0,25.35,0.003,0,0,0,0
