Rank,Cr_Recovery_%,SP_Power_kWh_MT,Total_Cost_INR,Material_Cost_INR,Power_Cost_INR,Ore_kg,Flux_kg,Reductant_kg,Auxiliary_kg,Total_Charge_kg,N_Materials,Material_1_Name,Material_1_Qty_kg,Material_2_Name,Material_2_Qty_kg,Material_3_Name,Material_3_Qty_kg,Material_4_Name,Material_4_Qty_kg,Material_5_Name,Material_5_Qty_kg,Material_6_Name,Material_6_Qty_kg,Material_7_Name,Material_7_Qty_kg,Material_8_Name,Material_8_Qty_kg,Material_9_Name,Material_9_Qty_kg,Material_10_Name,Material_10_Qty_kg,Material_11_Name,Material_11_Qty_kg,Material_12_Name,Material_12_Qty_kg,Material_13_Name,Material_13_Qty_kg,Material_14_Name,Material_14_Qty_kg,Material_15_Name,Material_15_Qty_kg,Material_16_Name,Material_16_Qty_kg,Material_17_Name,Material_17_Qty_kg
1,91.0,3362.0,62784.87518210328,40931.87518210328,21853.0,2044.0491591979835,379.75806571401426,524.4886873398324,15.846142361157806,2964.142054612988,15,SHG CHIPS ,260.67579712641367,SHG CHIPS - OWN,259.1718982968382,SHG BRQT - BAL,239.67134347334303,MG CHIPS  ,238.11731468278168,BOULDER CHIPS ,226.737813538994,MG CHIPS -OWN,224.28144545068741,RD COB BRQT ,219.5692291180176,RD BRQT - LGTG,162.97250316499435,MG BRQT  ,212.8518143459139,DOLOMITE,194.04965472633464,MAGNESITE,185.66780123237947,LAMC (HP) - DOM,174.38546843906732,LAMC  (LP) ,175.49228735017567,SEMICOKE - MONTEX,174.6109315505894,Sp Paste,15.846142361157806,,,,
2,91.0,3362.0,63632.731893427284,41779.731893427284,21853.0,2087.9295570999666,409.2562003113615,518.1621105887584,12.10446804989733,3027.452336049984,17,SHG CHIPS ,256.6115267530094,SHG CHIPS - OWN,255.13107563712666,SHG BRQT - BAL,235.9345595011804,MG CHIPS  ,234.4047600147682,BOULDER CHIPS ,223.20267990458873,MG CHIPS -OWN,220.78460974864694,BLENDED MG  DRYER CHIPS,217.87305588741086,BAL PRESS BRQT  LG,100.91741773267387,SHG DRYER CHIPS - OWN,182.63831932940147,RD BRQT - LGTG,160.43155259116028,MAGNESITE,137.73016236721367,SOAP STONE,127.5480112560767,DOLOMITE,143.9479019806417,LAMC  (LP) ,172.90918975995598,LAMC (HP) - DOM,171.81866228424494,LAMC - (ULP),173.43425854455754,Sp Paste,12.10446804989733
3,91.0,3362.0,63746.634718224406,41893.634718224406,21853.0,2051.7396706349878,420.7980404553656,545.4956144049602,12.28469775698383,3030.3180232522973,15,SHG CHIPS ,269.9452543405596,SHG CHIPS - OWN,268.38787787321024,SHG BRQT - BAL,248.1938963465799,MG CHIPS  ,246.58460733031887,BOULDER CHIPS ,234.8004587273752,BLENDED MG BRQT,171.67479925081358,MG BRQT - OWN,216.0081160213593,RD COB BRQT ,227.37696423300983,RD BRQT - LGTG,168.76769651176141,DOLOMITE,223.08355964585166,SOAP STONE,197.66779498169592,SEMI COKE,182.40762619209684,SEMICOKE - MONTEX,181.6612774760899,LAMC (HP) - DOM,181.42671073677343,Sp Paste,12.28469775698383,,,,
4,91.0,3362.0,63801.378449586016,41948.378449586016,21853.0,2110.8770996709973,412.0381158404687,538.4614260908313,11.980637152061464,3073.3572787543585,16,SHG CHIPS ,252.89866871619904,SHG CHIPS - OWN,251.43963793514405,SHG BRQT - BAL,232.52087214079762,MG CHIPS  ,231.01320700037414,BOULDER CHIPS ,219.97320742372463,MG CHIPS -OWN,217.59012381466817,RD BRQT - LGTG,158.11030230699288,BLENDED MG BRQT,160.8338264316289,MG BRQT  ,206.5014898786502,SHG DRYER CHIPS - OWN,179.9957640228178,SOAP STONE,193.55286378819807,DOLOMITE,218.4395381023915,LAMC - (ULP),180.20758065812163,SEMICOKE - MONTEX,178.75970885264763,SEMI COKE,179.49413658006202,Sp Paste,11.980637152061464,,
5,91.0,3362.0,63853.558113271036,42000.558113271036,21853.0,2090.5620875628333,422.07138517362,526.0298467939816,11.478647850007876,3050.1419673804426,17,SHG CHIPS ,254.51087152217676,SHG CHIPS - OWN,253.04253957108725,SHG BRQT - BAL,234.00316860529367,MG CHIPS  ,232.4858922558345,BOULDER CHIPS ,221.37551382592412,MG CHIPS -OWN,218.97723830581128,BAL PRESS BRQT  LG,100.09129466593296,BLENDED MG CHIPS ,209.13941423351173,MG BRQT  ,207.81791547753124,RD BRQT - LGTG,159.1182390997301,MAGNESITE,142.04295589484232,SOAP STONE,131.5419674669209,DOLOMITE,148.45539379875646,LAMC (HP) - DOM,174.48194684300958,SEMI COKE,175.42531420957968,LAMC - (ULP),176.12258574139236,Sp Paste,11.478647850007876
6,91.0,3362.0,64081.682767455095,42228.682767455095,21853.0,2039.2011063420478,373.45727537266265,542.9057766160638,15.639698130163175,2971.2038564609375,15,SHG CHIPS ,312.9732225429783,SHG CHIPS - OWN,311.1676077975381,SHG BRQT - BAL,287.754803264996,MG CHIPS  ,285.8890013613744,BOULDER CHIPS ,272.2265164542098,RD BRQT - LGTG,195.66845124754278,BAL PRESS BRQT  LG,123.08273848084434,MG BRQT - OWN,250.43876519256398,SOAP STONE,116.39098620046916,DOLOMITE,131.35632698637738,MAGNESITE,125.68247258113958,LAMC (HP) - DOM,180.26234574810607,SEMI COKE,181.23696585910903,LAMC  (LP) ,181.40646500884867,Sp Paste,15.639698130163175,,,,
7,91.0,3362.0,64181.09797885398,42328.09797885398,21853.0,2135.4312814035097,457.59084914173206,534.7983150684214,14.098505580995548,3141.918951194659,17,SHG CHIPS ,252.51262452071066,SHG CHIPS - OWN,251.0558209177066,SHG BRQT - BAL,232.16593419875343,MG CHIPS  ,230.66057047564917,BOULDER CHIPS ,219.63742321291812,MG CHIPS -OWN,217.25797732801146,RD BRQT - LGTG,157.8689504455443,BLENDED MG CHIPS ,207.49739318788397,MG BRQT  ,206.18626994518033,BLENDED MG BRQT,160.58831717115197,MAGNESITE,153.99659651361014,DOLOMITE,160.94867383653428,SOAP STONE,142.61189624641847,SEMI COKE,178.83056905888265,SEMICOKE - MONTEX,178.0988564195255,LAMC (HP) - DOM,177.86888959001325,Sp Paste,14.098505580995548
8,91.0,3362.0,64205.88612616987,42352.88612616987,21853.0,2122.0596927534425,398.2294075589223,579.2430502718711,11.736755885750833,3111.268906469987,17,SHG CHIPS ,253.5957162760072,SHG CHIPS - OWN,252.13266406672255,SHG BRQT - BAL,233.16175375299815,MG CHIPS  ,231.64993313673733,BOULDER CHIPS ,220.57950475315008,MG CHIPS -OWN,218.1898528113185,RD BRQT - LGTG,158.54609107948065,MG BRQT  ,207.0706560207551,MG DRYER CHIPS - OWN,144.20817942849104,MG BRQT - OWN,202.92534142778192,SOAP STONE,124.11142193858679,DOLOMITE,140.0694422747622,MAGNESITE,134.01923030307483,LAMC (HP) - DOM,192.59056124557736,LAMC  (LP) ,193.8129272901544,SEMICOKE - MONTEX,192.83956173613936,Sp Paste,11.736755885750833
9,91.0,3362.0,64229.72453103121,42376.72453103121,21853.0,2106.8299570102367,464.6223402938106,526.9698463526681,22.919418018081473,3121.3415616747975,17,SHG CHIPS ,248.17678000301808,SHG CHIPS - OWN,246.7449908876161,SHG BRQT - BAL,228.17945869123645,MG CHIPS  ,226.69994327198768,BOULDER CHIPS ,215.866072298779,MG CHIPS -OWN,213.52748341028905,BLENDED MG  DRYER CHIPS,210.7116314833317,BLENDED MG CHIPS ,203.93449633709545,RD BRQT - LGTG,155.15821380573303,BLENDED MG BRQT,157.8308868211502,MAGNESITE,156.36295875154963,DOLOMITE,163.42186397602904,SOAP STONE,144.80331744402037,SEMICOKE - MONTEX,175.43695029420377,LAMC  (LP) ,176.3224754570927,LAMC (HP) - DOM,175.2104206013717,Sp Paste,22.919418018081473
10,91.0,3362.0,64318.90925416152,42465.90925416152,21853.0,2086.9387446051937,483.8762556385702,515.9216551708444,14.608862869475427,3101.345518284084,17,SHG CHIPS ,251.85271117795742,SHG CHIPS - OWN,250.39971476731537,SHG BRQT - BAL,231.55919464265665,MG CHIPS  ,230.0577650183265,BOULDER CHIPS ,219.06342551113488,MG CHIPS -OWN,216.69019804041952,BLENDED MG BRQT,160.16863766644332,RD BRQT - LGTG,157.45637769991146,RD COB BRQT ,212.13747595374105,MG / HG COKE MIX BRQT,157.5532441272876,SOAP STONE,150.8039561863255,MAGNESITE,162.84262817285787,DOLOMITE,170.19405390664568,SEMICOKE - MONTEX,171.4506175307362,LAMC  (LP) ,172.31602151639436,SEMI COKE,172.15501612371378,Sp Paste,14.608862869475427
